index,Spirochaetes,Bacteroidetes,Proteobacteria,unknownA,Fusobacteria,unknownB,Tenericutes,Firmicutes,Actinobacteria,Cyanobacteria,TM6,GN02,Chlamydiae,Thermi,Fibrobacteres,H-178,ZB3,Chlorobi,Lentisphaerae,Planctomycetes,Nitrospirae,WWE1,OP8,Verrucomicrobia,SAR406,FBP,Chloroflexi,Acidobacteria,WPS-2,Gemmatimonadetes,TM7,SBR1093,WS3,OP3,forward-absolute-filepath,reverse-absolute-filepath,animalID,animal-health,site,site-status,site-animal-health
HH01_11,85732.0,145.0,689.0,0.0,0.0,0.0,0.0,19.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_11_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_11_R2.fq.gz,pyc11,healthy,site_01,naive,HH
HH01_12,59141.0,2389.0,1481.0,638.0,31.0,82.0,36.0,13.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_12_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_12_R2.fq.gz,pyc12,healthy,site_01,naive,HH
HH01_13,94558.0,1449.0,1915.0,722.0,0.0,0.0,0.0,3.0,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_13_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_13_R2.fq.gz,pyc13,healthy,site_01,naive,HH
HH01_14,81192.0,153.0,1043.0,21.0,0.0,0.0,8.0,22.0,125.0,42.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_14_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_14_R2.fq.gz,pyc14,healthy,site_01,naive,HH
HH01_15,28830.0,1856.0,17891.0,2.0,6883.0,60.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_15_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_15_R2.fq.gz,pyc15,healthy,site_01,naive,HH
HH01_17,45833.0,20194.0,1626.0,9488.0,0.0,47.0,0.0,9.0,26.0,148.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_17_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_17_R2.fq.gz,pyc16,healthy,site_01,naive,HH
HH01_18,79699.0,300.0,824.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_18_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_18_R2.fq.gz,pyc17,healthy,site_01,naive,HH
HH01_19,61954.0,7035.0,5468.0,4.0,0.0,30.0,0.0,0.0,0.0,47.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_19_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_19_R2.fq.gz,pyc18,healthy,site_01,naive,HH
HH01_20,99960.0,3290.0,2393.0,30.0,0.0,0.0,0.0,0.0,25.0,68.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_20_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_20_R2.fq.gz,pyc19,healthy,site_01,naive,HH
HH01_21,83030.0,9467.0,2203.0,144.0,0.0,27.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_21_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_21_R2.fq.gz,pyc20,healthy,site_01,naive,HH
HH01_22,52138.0,2827.0,28794.0,916.0,13.0,3852.0,27.0,220.0,0.0,419.0,378.0,10.0,182.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_22_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_22_R2.fq.gz,pyc21,healthy,site_01,naive,HH
HH01_23,55300.0,2725.0,6033.0,98.0,0.0,214.0,0.0,24.0,0.0,116.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_23_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_23_R2.fq.gz,pyc22,healthy,site_01,naive,HH
HH01_24,30408.0,723.0,211.0,395.0,0.0,107.0,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH01_24_R1.fq.gz,/data/project_data/16S/pycno16S/HH01_24_R2.fq.gz,pyc23,healthy,site_01,naive,HH
HH02_01,53918.0,11443.0,1745.0,22424.0,0.0,384.0,0.0,7.0,0.0,247.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_01_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_01_R2.fq.gz,pyc24,healthy,site_02,naive,HH
HH02_02,98784.0,5954.0,1677.0,454.0,0.0,0.0,2.0,0.0,68.0,560.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_02_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_02_R2.fq.gz,pyc25,healthy,site_02,naive,HH
HH02_03,69820.0,10781.0,4525.0,52.0,0.0,3.0,0.0,12.0,29.0,85.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_03_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_03_R2.fq.gz,pyc26,healthy,site_02,naive,HH
HH02_04,67503.0,4546.0,1682.0,2768.0,0.0,174.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_04_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_04_R2.fq.gz,pyc27,healthy,site_02,naive,HH
HH02_05,69820.0,2372.0,957.0,26.0,0.0,86.0,0.0,121.0,83.0,187.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_05_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_05_R2.fq.gz,pyc28,healthy,site_02,naive,HH
HH02_06,36869.0,7331.0,5428.0,6657.0,0.0,346.0,0.0,86.0,154.0,683.0,0.0,47.0,254.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_06_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_06_R2.fq.gz,pyc29,healthy,site_02,naive,HH
HH02_07,92147.0,3764.0,9483.0,0.0,0.0,0.0,0.0,455.0,2264.0,397.0,0.0,0.0,131.0,275.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_07_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_07_R2.fq.gz,pyc30,healthy,site_02,naive,HH
HH02_08,59450.0,8622.0,7780.0,835.0,45.0,110.0,0.0,381.0,686.0,1235.0,0.0,3.0,323.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_08_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_08_R2.fq.gz,pyc31,healthy,site_02,naive,HH
HH02_09,61572.0,8601.0,4114.0,895.0,0.0,9.0,0.0,11.0,0.0,427.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_09_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_09_R2.fq.gz,pyc32,healthy,site_02,naive,HH
HH02_10,97774.0,2415.0,1897.0,279.0,44.0,137.0,0.0,0.0,21.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_10_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_10_R2.fq.gz,pyc33,healthy,site_02,naive,HH
HH02_11,69468.0,8398.0,2384.0,11654.0,0.0,396.0,0.0,58.0,118.0,254.0,0.0,483.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,/data/project_data/16S/pycno16S/HH02_11_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_11_R2.fq.gz,pyc34,healthy,site_02,naive,HH
HH02_12,100795.0,1547.0,2782.0,2.0,0.0,4.0,9.0,0.0,3.0,21.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_12_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_12_R2.fq.gz,pyc35,healthy,site_02,naive,HH
HH02_13,25846.0,6520.0,12513.0,798.0,0.0,9.0,21.0,65.0,0.0,510.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_13_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_13_R2.fq.gz,pyc36,healthy,site_02,naive,HH
HH02_14,67387.0,6932.0,3769.0,68.0,0.0,4.0,0.0,42.0,308.0,1750.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_14_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_14_R2.fq.gz,pyc37,healthy,site_02,naive,HH
HH02_15,44406.0,25509.0,21095.0,625.0,49.0,238.0,110.0,62.0,362.0,1625.0,0.0,0.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,6.0,0.0,/data/project_data/16S/pycno16S/HH02_15_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_15_R2.fq.gz,pyc38,healthy,site_02,naive,HH
HH02_16,23168.0,3271.0,364.0,3197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_16_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_16_R2.fq.gz,pyc39,healthy,site_02,naive,HH
HH02_17,56451.0,4183.0,19572.0,57.0,90.0,0.0,182.0,0.0,8.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_17_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_17_R2.fq.gz,pyc40,healthy,site_02,naive,HH
HH02_18,526.0,22542.0,9613.0,307.0,965.0,0.0,132.0,209.0,313.0,727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_18_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_18_R2.fq.gz,pyc41,healthy,site_02,naive,HH
HH02_19,84339.0,1186.0,3028.0,1717.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_19_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_19_R2.fq.gz,pyc42,healthy,site_02,naive,HH
HH02_20,89061.0,1827.0,6649.0,165.0,7.0,0.0,0.0,0.0,0.0,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_20_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_20_R2.fq.gz,pyc43,healthy,site_02,naive,HH
HH02_21,85013.0,1754.0,2112.0,501.0,0.0,161.0,0.0,0.0,0.0,799.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_21_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_21_R2.fq.gz,pyc44,healthy,site_02,naive,HH
HH02_22,85283.0,2062.0,787.0,943.0,0.0,299.0,0.0,0.0,65.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_22_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_22_R2.fq.gz,pyc45,healthy,site_02,naive,HH
HH02_23,29804.0,7421.0,26400.0,812.0,50.0,0.0,125.0,88.0,633.0,64.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_23_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_23_R2.fq.gz,pyc46,healthy,site_02,naive,HH
HH02_24,65058.0,8331.0,2481.0,3475.0,0.0,168.0,0.0,0.0,28.0,1520.0,0.0,172.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/HH02_24_R1.fq.gz,/data/project_data/16S/pycno16S/HH02_24_R2.fq.gz,pyc47,healthy,site_02,naive,HH
SH12_01,33939.0,1884.0,15220.0,3656.0,833.0,767.0,0.0,305.0,86.0,271.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH12_01_R1.fq.gz,/data/project_data/16S/pycno16S/SH12_01_R2.fq.gz,pyc48,healthy,site_12,impacted,SH
SH12_02,61574.0,1039.0,29253.0,1550.0,495.0,0.0,0.0,20.0,0.0,33.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH12_02_R1.fq.gz,/data/project_data/16S/pycno16S/SH12_02_R2.fq.gz,pyc49,healthy,site_12,impacted,SH
SH12_03,73534.0,3408.0,20398.0,766.0,745.0,217.0,0.0,83.0,0.0,22.0,964.0,54.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH12_03_R1.fq.gz,/data/project_data/16S/pycno16S/SH12_03_R2.fq.gz,pyc50,healthy,site_12,impacted,SH
SH12_04,48283.0,5629.0,15423.0,8908.0,151.0,716.0,0.0,144.0,0.0,135.0,0.0,212.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH12_04_R1.fq.gz,/data/project_data/16S/pycno16S/SH12_04_R2.fq.gz,pyc51,healthy,site_12,impacted,SH
SH13_05,14979.0,1212.0,52482.0,371.0,770.0,114.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_05_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_05_R2.fq.gz,pyc52,healthy,site_13,impacted,SH
SH13_06,87040.0,6393.0,17763.0,6276.0,77.0,137.0,0.0,23.0,0.0,198.0,0.0,260.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_06_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_06_R2.fq.gz,pyc53,healthy,site_13,impacted,SH
SH13_07,12764.0,4008.0,28151.0,478.0,1526.0,1744.0,0.0,24.0,0.0,65.0,0.0,133.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_07_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_07_R2.fq.gz,pyc54,healthy,site_13,impacted,SH
SH13_08,13121.0,3284.0,25471.0,0.0,33.0,2.0,0.0,0.0,0.0,46.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_08_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_08_R2.fq.gz,pyc55,healthy,site_13,impacted,SH
SH13_09,5452.0,1216.0,25873.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_09_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_09_R2.fq.gz,pyc56,healthy,site_13,impacted,SH
SH13_10,33508.0,4214.0,38966.0,0.0,104.0,242.0,29.0,0.0,0.0,203.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH13_10_R1.fq.gz,/data/project_data/16S/pycno16S/SH13_10_R2.fq.gz,pyc57,healthy,site_13,impacted,SH
SH15_01,27738.0,13860.0,15312.0,5.0,6089.0,5.0,0.0,996.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH15_01_R1.fq.gz,/data/project_data/16S/pycno16S/SH15_01_R2.fq.gz,pyc58,healthy,site_15,impacted,SH
SH15_02,86225.0,1934.0,10109.0,616.0,0.0,303.0,0.0,71.0,4.0,156.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/data/project_data/16S/pycno16S/SH15_02_R1.fq.gz,/data/project_data/16S/pycno16S/SH15_02_R2.fq.gz,pyc59,healthy,site_15,impacted,SH
